WISE3_ID,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,CLIM_PRECIPITATION_DATA,CLIM_GDD,CLIM_ARIDITY_INDEX,CLIM_KOPGEIGER,CKIM_FAO_LGP,CLIM_MODIS_evapotrans,clim_precip_novdecjan,clim_precip_febmarapr,clim_precip_mayjunjul,clim_precip_augsepoct,topog_elevation,topog_geolage,topog_slope_global,topog_landform_global,topog_twi_global,topog_topi_global,topog_israd_global,landcover_modis_2012,vegind_modis_evi_m,vegind_modis_evi_sd,WISE3_FAO_74
NE0096,12.7786111111,2.90916666667,607.0,8558.0,0.2942,6,5,1397.0,0.0,3.0,91.0,108.0,184.0,65,0,7,1280.0,1.568,1551.25,14,1607.0,281.0,Qc
NE0097,13.9405555556,3.18527777778,371.0,8651.0,0.1774,6,4,796.0,0.0,0.0,58.0,66.0,215.0,80,0,7,1280.0,1.563,1551.25,14,1564.0,413.0,Qc
NE0098,11.9941666667,3.56722222222,722.0,8481.0,0.3608,3,6,4242.0,0.0,5.0,115.0,121.0,168.0,65,0,7,1270.0,1.565,1551.25,14,2419.0,618.0,Qc
NE0099,11.8041666667,3.55861111111,829.0,8481.0,0.4159,3,6,3446.0,0.0,7.0,128.0,141.0,161.0,65,0,7,1310.0,1.566,1551.25,14,2294.0,777.0,Qc
NE0100,13.4013888889,2.18861111111,521.0,8657.0,0.2456,6,5,1502.0,0.0,2.0,83.0,88.0,180.0,67,1,7,1220.0,1.564,1551.25,14,2053.0,486.0,Qc
NE0101,13.4008333333,2.1875,521.0,8657.0,0.2456,6,5,1502.0,0.0,2.0,83.0,88.0,180.0,67,1,7,1220.0,1.564,1551.25,14,2053.0,486.0,Qc
NE0102,13.2844444444,2.3625,530.0,8657.0,0.2514,6,5,1208.0,0.0,2.0,86.0,88.0,185.0,80,3,7,1220.0,1.564,1551.25,10,1524.0,412.0,Qc
NE0103,12.9133333333,2.87222222222,583.0,8558.0,0.2813,6,5,1812.0,0.0,3.0,89.0,103.0,182.0,65,4,7,1220.0,1.566,1505.625,10,1992.0,542.0,Qc
NE0104,13.2763888889,2.87194444444,514.0,8610.0,0.2464,6,5,974.0,0.0,1.0,80.0,90.0,198.0,65,0,7,1280.0,1.568,1551.25,14,1714.0,411.0,Qc
NE0105,13.4902777778,2.69777777778,457.0,8610.0,0.2181,6,5,898.0,0.0,1.0,73.0,79.0,208.0,65,1,7,1240.0,1.563,1551.25,14,1688.0,590.0,Qc
NE0106,13.5216666667,2.67972222222,451.0,8582.0,0.2148,6,5,838.0,0.0,1.0,72.0,78.0,207.0,65,0,7,1210.0,1.563,1551.25,14,1736.0,524.0,Qc
NE0107,13.17,1.34861111111,551.0,8607.0,0.2628,6,5,1374.0,0.0,3.0,94.0,87.0,267.0,67,1,4,1280.0,1.567,1551.25,10,1924.0,745.0,Qc
NE0108,13.6313888889,1.87861111111,441.0,8742.0,0.2055,6,5,857.0,0.0,2.0,67.0,78.0,188.0,67,4,7,1200.0,1.56,1551.25,10,1267.0,415.0,Qc
NE0109,14.3,1.95,363.0,8649.0,0.1709,6,4,363.0,0.0,2.0,52.0,68.0,246.0,65,2,7,1190.0,1.567,1551.25,16,852.0,139.0,Qc
NE0110,14.2547222222,3.37694444444,356.0,8723.0,0.1709,6,4,624.0,0.0,0.0,56.0,63.0,225.0,65,0,7,1310.0,1.569,1551.25,10,1654.0,634.0,Qc
NE0111,14.2397222222,3.42972222222,355.0,8723.0,0.1703,6,4,635.0,0.0,0.0,55.0,63.0,226.0,65,0,7,1310.0,1.568,1551.25,14,1644.0,612.0,Qc
NE0112,14.3361111111,1.96055555556,363.0,8649.0,0.171,4,4,374.0,0.0,2.0,52.0,67.0,253.0,80,4,7,1170.0,1.565,1551.25,16,1038.0,191.0,Qc
NE0113,13.2630555556,2.9,519.0,8610.0,0.249,6,5,1016.0,0.0,1.0,81.0,92.0,196.0,65,0,7,1280.0,1.569,1551.25,10,1544.0,314.0,Qc
NE0114,13.1127777778,1.735,547.0,8654.0,0.2599,6,5,1436.0,0.0,2.0,90.0,91.0,210.0,67,0,7,1280.0,1.566,1551.25,12,1891.0,532.0,Ql
NE0115,13.1127777778,1.73555555556,547.0,8654.0,0.2599,6,5,1436.0,0.0,2.0,90.0,91.0,210.0,67,0,7,1280.0,1.566,1551.25,12,1891.0,532.0,Ql
NE0116,11.9797222222,3.56083333333,729.0,8481.0,0.3655,3,6,3386.0,0.0,5.0,116.0,122.0,175.0,65,2,7,1250.0,1.565,1551.25,12,2464.0,791.0,Ql
NE0117,13.5405555556,2.7175,451.0,8582.0,0.2162,6,5,882.0,0.0,1.0,71.0,79.0,256.0,80,2,7,1200.0,1.57,1551.25,10,1452.0,425.0,Ql
NE0118,13.6969444444,1.81388888889,423.0,8742.0,0.1983,6,4,708.0,0.0,2.0,63.0,76.0,220.0,67,3,7,1220.0,1.566,1551.25,10,1036.0,248.0,Ql
NE0119,14.05,3.4,352.0,8723.0,0.1692,6,4,657.0,0.0,0.0,55.0,63.0,235.0,80,4,7,1230.0,1.565,1551.25,16,920.0,197.0,Ql
NE0120,13.6875,1.80722222222,425.0,8742.0,0.1992,6,4,747.0,0.0,2.0,63.0,76.0,220.0,67,3,7,1210.0,1.566,1551.25,7,1107.0,299.0,Ql
NE0121,14.3530555556,1.26166666667,329.0,8675.0,0.1549,4,4,517.0,0.0,1.0,44.0,64.0,223.0,67,1,7,1250.0,1.568,1551.25,14,1420.0,357.0,Ql
NE0122,13.3166666667,2.175,541.0,8657.0,0.2566,6,5,909.0,0.0,2.0,87.0,91.0,237.0,80,3,7,1230.0,1.565,1551.25,10,1110.0,268.0,Ql
NE0123,12.9177777778,2.86388888889,585.0,8558.0,0.283,6,5,1337.0,0.0,3.0,89.0,103.0,216.0,65,4,7,1230.0,1.569,1551.25,12,1667.0,443.0,Ql
NE0124,13.7580555556,1.63638888889,400.0,8742.0,0.1877,6,4,732.0,0.0,1.0,58.0,74.0,206.0,67,1,7,1230.0,1.567,1551.25,14,1401.0,347.0,Ql
NE0125,13.5461111111,2.45055555556,444.0,8727.0,0.2109,6,5,785.0,0.0,1.0,71.0,76.0,238.0,80,0,7,1220.0,1.565,1551.25,14,1662.0,513.0,Ql
NE0126,13.285,2.36333333333,530.0,8657.0,0.2514,6,5,1208.0,0.0,2.0,86.0,88.0,185.0,80,3,7,1220.0,1.564,1551.25,10,1524.0,412.0,Ql
NE0127,13.2352777778,1.87194444444,534.0,8654.0,0.2533,6,5,959.0,0.0,2.0,86.0,90.0,242.0,67,5,7,1200.0,1.563,1551.25,10,1168.0,227.0,Ql
NE0128,13.1594444444,1.34777777778,551.0,8607.0,0.2635,6,5,1320.0,0.0,3.0,94.0,87.0,268.0,67,1,4,1290.0,1.568,1551.25,14,1845.0,557.0,Ql
NE0129,13.2480555556,1.27694444444,537.0,8607.0,0.2566,6,5,1602.0,0.0,3.0,90.0,86.0,293.0,67,2,4,1250.0,1.569,1551.25,14,2197.0,618.0,Ql
NE0130,13.2255555556,2.2875,550.0,8657.0,0.2624,6,5,1397.0,0.0,3.0,89.0,92.0,229.0,67,2,7,1250.0,1.568,1551.25,12,1855.0,730.0,Ql
NE0131,13.7783333333,1.67888888889,394.0,8742.0,0.1845,6,4,629.0,0.0,1.0,57.0,73.0,202.0,67,2,7,1220.0,1.566,1551.25,10,1403.0,520.0,Ql
NE0132,13.6069444444,1.93583333333,451.0,8742.0,0.2106,6,5,768.0,0.0,1.0,69.0,80.0,209.0,67,4,7,1190.0,1.562,1551.25,10,1270.0,401.0,Ql
NE0133,13.7619444444,2.99166666667,402.0,8582.0,0.192,6,4,719.0,0.0,1.0,62.0,71.0,207.0,65,0,7,1290.0,1.568,1551.25,14,1627.0,385.0,Ql
NE0134,13.2630555556,2.89055555556,518.0,8610.0,0.2485,6,5,1155.0,0.0,1.0,81.0,91.0,193.0,65,0,7,1280.0,1.568,1551.25,12,1700.0,334.0,Ql
NE0135,13.8725,1.41055555556,396.0,8630.0,0.1865,6,4,644.0,0.0,1.0,57.0,74.0,218.0,67,0,7,1240.0,1.569,1551.25,14,1629.0,527.0,Ql
NE0136,13.7855555556,1.52583333333,405.0,8742.0,0.1909,6,4,609.0,0.0,2.0,59.0,74.0,237.0,67,2,7,1210.0,1.568,1551.25,16,1041.0,170.0,Ql
NE0137,13.1133333333,1.735,547.0,8654.0,0.2599,6,5,1436.0,0.0,2.0,90.0,91.0,210.0,67,0,7,1280.0,1.566,1551.25,12,1891.0,532.0,Ql
NE0138,13.5444444444,2.42555555556,445.0,8727.0,0.2114,6,5,795.0,0.0,1.0,71.0,76.0,239.0,80,2,7,1210.0,1.564,1551.25,14,1420.0,347.0,Ql
NE0139,14.2536111111,3.35194444444,359.0,8723.0,0.1724,6,4,641.0,0.0,0.0,56.0,63.0,223.0,65,0,7,1310.0,1.568,1551.25,14,1744.0,667.0,Ql
NE0140,13.5597222222,2.685,444.0,8582.0,0.2118,6,5,787.0,0.0,1.0,70.0,77.0,228.0,65,1,7,1200.0,1.565,1551.25,10,1335.0,368.0,Ql
NE0141,13.6908333333,1.35333333333,433.0,8630.0,0.2044,6,4,670.0,0.0,2.0,65.0,77.0,236.0,67,1,7,1260.0,1.568,1551.25,14,1271.0,336.0,Ql
NE0142,11.9819444444,3.56305555556,729.0,8481.0,0.3655,3,6,3386.0,0.0,5.0,116.0,122.0,175.0,65,2,7,1250.0,1.565,1551.25,12,2464.0,791.0,Ql
NE0144,13.5969444444,2.05916666667,471.0,8727.0,0.2201,6,5,719.0,0.0,1.0,73.0,83.0,235.0,65,0,7,1240.0,1.568,1551.25,14,1367.0,320.0,Ql
NE0145,14.0497222222,3.28361111111,348.0,8723.0,0.1669,6,4,650.0,0.0,0.0,54.0,62.0,220.0,65,0,7,1310.0,1.568,1551.25,14,1526.0,376.0,Ql
NE0146,13.2430555556,2.91444444444,523.0,8610.0,0.251,6,5,1102.0,0.0,1.0,81.0,92.0,194.0,65,0,7,1280.0,1.569,1551.25,10,1643.0,421.0,Ql
NE0147,13.2630555556,2.88888888889,518.0,8610.0,0.2485,6,5,1155.0,0.0,1.0,81.0,91.0,193.0,65,0,7,1280.0,1.568,1551.25,12,1700.0,334.0,Ql
NE0148,13.5936111111,2.0575,468.0,8727.0,0.2188,6,5,726.0,0.0,1.0,72.0,82.0,237.0,65,0,7,1230.0,1.569,1551.25,14,1360.0,335.0,Ql
NE0149,13.5877777778,2.05416666667,473.0,8727.0,0.221,6,5,754.0,0.0,1.0,73.0,83.0,237.0,65,0,7,1230.0,1.569,1551.25,10,1347.0,336.0,Ql
NE0150,13.5472222222,2.98972222222,462.0,8582.0,0.2211,6,5,932.0,0.0,2.0,72.0,81.0,204.0,65,0,7,1290.0,1.568,1551.25,14,1627.0,429.0,Ql
NE0151,13.5575,2.43527777778,443.0,8727.0,0.2109,6,5,812.0,0.0,1.0,71.0,76.0,252.0,80,3,7,1200.0,1.566,1551.25,14,1198.0,272.0,Ql
NE0152,12.6638888889,2.93666666667,619.0,8558.0,0.3004,6,6,2314.0,0.0,4.0,92.0,110.0,177.0,65,0,7,1290.0,1.568,1551.25,12,2146.0,553.0,Ql
NE0153,12.2611111111,3.56472222222,629.0,8545.0,0.3115,6,6,2851.0,0.0,4.0,99.0,107.0,178.0,65,0,7,1290.0,1.566,1551.25,14,2401.0,810.0,Ql
NE0154,13.2305555556,1.83111111111,534.0,8654.0,0.2533,6,5,1072.0,0.0,2.0,87.0,89.0,243.0,67,3,7,1220.0,1.565,1551.25,14,1312.0,418.0,Ql
NE0155,13.55,2.33333333333,461.0,8727.0,0.2186,6,5,749.0,0.0,1.0,73.0,79.0,240.0,80,2,7,1170.0,1.568,1551.25,10,1203.0,270.0,Ql
NE0156,14.3297222222,2.01194444444,366.0,8664.0,0.1723,4,4,392.0,0.0,2.0,53.0,67.0,242.0,65,3,7,1180.0,1.565,1551.25,14,1349.0,336.0,Ql
NE0157,13.1397222222,1.22861111111,556.0,8607.0,0.266,6,5,1621.0,0.0,3.0,93.0,89.0,272.0,67,3,4,1260.0,1.566,1551.25,10,2097.0,769.0,Ql
NE0158,13.1644444444,2.37194444444,549.0,8657.0,0.2616,6,5,1157.0,0.0,2.0,89.0,92.0,177.0,80,5,7,1230.0,1.561,1551.25,7,1124.0,322.0,Ql
NE0159,13.5497222222,2.43194444444,445.0,8727.0,0.2114,6,5,795.0,0.0,1.0,71.0,76.0,239.0,80,2,7,1210.0,1.564,1551.25,14,1420.0,347.0,Ql
NE0160,13.2372222222,2.29,549.0,8657.0,0.2625,6,5,1354.0,0.0,3.0,88.0,92.0,228.0,67,2,7,1250.0,1.569,1551.25,10,1975.0,890.0,Ql
NE0161,13.2233333333,2.275,550.0,8657.0,0.2622,6,5,1130.0,0.0,3.0,89.0,92.0,210.0,67,2,7,1240.0,1.566,1551.25,12,1614.0,522.0,Ql
NE0162,13.5513888889,2.66777777778,444.0,8582.0,0.2117,6,5,792.0,0.0,1.0,70.0,77.0,226.0,65,1,7,1210.0,1.567,1551.25,10,1446.0,542.0,Ql
NE0163,13.2372222222,2.27666666667,550.0,8657.0,0.2627,6,5,1628.0,0.0,3.0,89.0,92.0,238.0,67,1,7,1250.0,1.569,1551.25,12,2063.0,1053.0,Ql
NE0164,13.525,2.64138888889,450.0,8582.0,0.2147,6,5,821.0,0.0,1.0,72.0,78.0,235.0,65,3,7,1200.0,1.566,1551.25,10,1570.0,443.0,Ql
NE0165,13.1061111111,1.72944444444,549.0,8654.0,0.2603,6,5,1438.0,0.0,2.0,90.0,91.0,226.0,67,2,7,1270.0,1.566,1551.25,10,1721.0,493.0,Ql
NE0166,13.5530555556,2.43555555556,443.0,8727.0,0.2109,6,5,812.0,0.0,1.0,71.0,76.0,252.0,80,3,7,1200.0,1.566,1551.25,14,1198.0,272.0,Ql
NE0167,13.1138888889,1.73277777778,546.0,8654.0,0.2593,6,5,1417.0,0.0,2.0,90.0,90.0,218.0,67,2,7,1270.0,1.566,1551.25,10,1808.0,623.0,Ql
NE0168,13.1125,1.73416666667,547.0,8654.0,0.2599,6,5,1436.0,0.0,2.0,90.0,91.0,210.0,67,0,7,1280.0,1.566,1551.25,12,1891.0,532.0,Ql
NE0169,13.1102777778,1.73166666667,546.0,8654.0,0.2593,6,5,1417.0,0.0,2.0,90.0,90.0,218.0,67,2,7,1270.0,1.566,1551.25,10,1808.0,623.0,Ql
NE0170,13.5947222222,1.95861111111,457.0,8742.0,0.2132,6,5,783.0,0.0,1.0,70.0,81.0,202.0,67,6,7,1180.0,1.561,1551.25,7,982.0,220.0,Ql
NE0171,13.1088888889,1.73027777778,546.0,8654.0,0.2593,6,5,1417.0,0.0,2.0,90.0,90.0,218.0,67,2,7,1270.0,1.566,1551.25,10,1808.0,623.0,Ql
NE0172,13.1083333333,1.73194444444,549.0,8654.0,0.2603,6,5,1438.0,0.0,2.0,90.0,91.0,226.0,67,2,7,1270.0,1.566,1551.25,10,1721.0,493.0,Ql
NE0173,13.235,2.27416666667,550.0,8657.0,0.2626,6,5,1370.0,0.0,3.0,89.0,92.0,239.0,67,1,7,1250.0,1.568,1551.25,10,1755.0,770.0,Ql
NE0174,13.525,2.64333333333,450.0,8582.0,0.2148,6,5,839.0,0.0,1.0,72.0,78.0,231.0,65,3,7,1200.0,1.566,1551.25,14,1589.0,458.0,Ql
NE0175,13.5472222222,2.43277777778,445.0,8727.0,0.2114,6,5,795.0,0.0,1.0,71.0,76.0,239.0,80,2,7,1210.0,1.564,1551.25,14,1420.0,347.0,Ql
NE0176,13.5566666667,2.44527777778,443.0,8727.0,0.211,6,5,814.0,0.0,1.0,71.0,76.0,243.0,80,4,7,1210.0,1.566,1551.25,14,1349.0,331.0,Ql
NE0177,13.2277777778,2.29111111111,550.0,8657.0,0.2624,6,5,1397.0,0.0,3.0,89.0,92.0,229.0,67,2,7,1250.0,1.568,1551.25,12,1855.0,730.0,Ql
NE0178,13.5552777778,2.7025,448.0,8582.0,0.2148,6,5,894.0,0.0,1.0,71.0,78.0,260.0,80,3,7,1190.0,1.566,1551.25,10,1283.0,333.0,Ql
NE0179,13.2375,2.27722222222,550.0,8657.0,0.2627,6,5,1628.0,0.0,3.0,89.0,92.0,238.0,67,1,7,1250.0,1.569,1551.25,12,2063.0,1053.0,Ql
NE0180,13.5483333333,2.69861111111,448.0,8582.0,0.2141,6,5,835.0,0.0,1.0,71.0,78.0,235.0,65,5,7,1190.0,1.564,1551.25,10,1427.0,488.0,Ql
NE0181,13.5463888889,2.69888888889,448.0,8582.0,0.2141,6,5,835.0,0.0,1.0,71.0,78.0,235.0,65,5,7,1190.0,1.564,1551.25,10,1427.0,488.0,Ql
NE0182,13.9927777778,3.21472222222,362.0,8651.0,0.1732,6,4,725.0,0.0,0.0,56.0,65.0,216.0,80,2,7,1250.0,1.564,1551.25,14,1497.0,413.0,Ql
NE0183,13.3972222222,2.40583333333,492.0,8657.0,0.2345,6,5,873.0,0.0,1.0,80.0,83.0,240.0,80,0,7,1240.0,1.57,1551.25,14,1303.0,344.0,Ql
NE0184,13.1505555556,1.35111111111,553.0,8607.0,0.2643,6,5,1498.0,0.0,3.0,94.0,87.0,263.0,67,2,4,1290.0,1.568,1551.25,14,2036.0,815.0,Ql
NE0185,13.3988888889,2.4075,492.0,8657.0,0.2345,6,5,873.0,0.0,1.0,80.0,83.0,240.0,80,0,7,1240.0,1.57,1551.25,14,1303.0,344.0,Ql
NE0186,11.7980555556,3.58055555556,832.0,8481.0,0.4176,3,6,3275.0,0.0,8.0,128.0,141.0,163.0,65,0,7,1300.0,1.565,1551.25,12,2238.0,862.0,Ql
NE0187,11.8769444444,3.59027777778,782.0,8481.0,0.3933,3,6,3081.0,0.0,6.0,122.0,132.0,190.0,65,5,7,1240.0,1.564,1551.25,10,1877.0,588.0,Ql
NE0188,13.525,2.63916666667,450.0,8582.0,0.2147,6,5,821.0,0.0,1.0,72.0,78.0,235.0,65,3,7,1200.0,1.566,1551.25,10,1570.0,443.0,Ql
NE0189,13.5266666667,2.64111111111,449.0,8582.0,0.2142,6,5,881.0,0.0,1.0,72.0,77.0,229.0,65,3,7,1200.0,1.565,1551.25,14,1643.0,489.0,Ql
NE0190,13.6072222222,1.93805555556,451.0,8742.0,0.2106,6,5,768.0,0.0,1.0,69.0,80.0,209.0,67,4,7,1190.0,1.562,1551.25,10,1270.0,401.0,Qf
NE0191,13.5947222222,2.05805555556,468.0,8727.0,0.2188,6,5,726.0,0.0,1.0,72.0,82.0,237.0,65,0,7,1230.0,1.569,1551.25,14,1360.0,335.0,Qf
NE0192,13.2363888889,2.28194444444,550.0,8657.0,0.2627,6,5,1628.0,0.0,3.0,89.0,92.0,238.0,67,1,7,1250.0,1.569,1551.25,12,2063.0,1053.0,Qf
NE0193,13.5266666667,2.63722222222,449.0,8582.0,0.2142,6,5,881.0,0.0,1.0,72.0,77.0,229.0,65,3,7,1200.0,1.565,1551.25,14,1643.0,489.0,Qf
NE0194,13.5247222222,2.63722222222,450.0,8582.0,0.2147,6,5,821.0,0.0,1.0,72.0,78.0,235.0,65,3,7,1200.0,1.566,1551.25,10,1570.0,443.0,Qf
NE0195,13.2238888889,2.28805555556,551.0,8657.0,0.2622,6,5,1119.0,0.0,3.0,89.0,92.0,228.0,67,3,7,1250.0,1.566,1551.25,12,1593.0,519.0,Qf
NE0196,13.5436111111,2.45027777778,444.0,8727.0,0.2109,6,5,785.0,0.0,1.0,71.0,76.0,238.0,80,0,7,1220.0,1.565,1551.25,14,1662.0,513.0,Qf
NE0197,13.2277777778,2.29111111111,550.0,8657.0,0.2624,6,5,1397.0,0.0,3.0,89.0,92.0,229.0,67,2,7,1250.0,1.568,1551.25,12,1855.0,730.0,Qf
NE0198,13.1063888889,1.73138888889,549.0,8654.0,0.2603,6,5,1438.0,0.0,2.0,90.0,91.0,226.0,67,2,7,1270.0,1.566,1551.25,10,1721.0,493.0,Qf
NE0199,13.2372222222,2.29027777778,549.0,8657.0,0.2625,6,5,1354.0,0.0,3.0,88.0,92.0,228.0,67,2,7,1250.0,1.569,1551.25,10,1975.0,890.0,Qf
NE0200,13.2113888889,2.24027777778,555.0,8657.0,0.2652,6,5,1003.0,0.0,2.0,89.0,93.0,238.0,80,3,7,1260.0,1.566,1551.25,10,1194.0,259.0,Qf
NE0201,13.3227777778,2.46138888889,501.0,8657.0,0.2389,6,5,903.0,0.0,1.0,82.0,83.0,211.0,80,1,7,1230.0,1.563,1551.25,10,1244.0,251.0,Qf
NE0202,13.5980555556,1.34916666667,450.0,8630.0,0.2122,6,4,793.0,0.0,2.0,70.0,78.0,217.0,67,2,7,1240.0,1.567,1551.25,14,1379.0,406.0,Bk
NE0203,13.6452777778,1.82611111111,435.0,8742.0,0.2029,6,5,761.0,0.0,2.0,66.0,77.0,191.0,67,2,7,1210.0,1.564,1551.25,7,1311.0,424.0,Bk
NE0204,14.1369444444,1.55305555556,388.0,8649.0,0.1824,6,4,464.0,0.0,2.0,54.0,74.0,221.0,80,2,7,1210.0,1.566,1551.25,16,1167.0,178.0,Bk
NE0205,14.1919444444,1.5375,390.0,8649.0,0.1838,6,4,542.0,0.0,2.0,54.0,74.0,218.0,67,1,7,1230.0,1.567,1551.25,7,1163.0,224.0,Bk
NE0206,14.1991666667,1.50638888889,395.0,8649.0,0.1862,6,4,584.0,0.0,2.0,55.0,75.0,206.0,67,1,7,1240.0,1.566,1551.25,14,1318.0,311.0,Bk
NE0207,13.4241666667,1.7625,490.0,8654.0,0.2315,6,5,968.0,0.0,2.0,78.0,84.0,254.0,80,3,7,1220.0,1.565,1551.25,14,1559.0,506.0,Be
NE0208,13.7830555556,1.70222222222,395.0,8742.0,0.1853,6,4,583.0,0.0,1.0,57.0,73.0,211.0,67,3,7,1220.0,1.567,1551.25,10,1306.0,409.0,Bd
NE0209,13.3136111111,1.70388888889,512.0,8654.0,0.2426,6,5,896.0,0.0,2.0,83.0,85.0,243.0,67,3,7,1250.0,1.568,1551.25,10,1161.0,260.0,Bd
NE0210,13.3202777778,1.78722222222,512.0,8654.0,0.2416,6,5,976.0,0.0,2.0,83.0,86.0,223.0,67,2,7,1240.0,1.564,1551.25,10,1408.0,414.0,Bd
NE0211,13.1636111111,1.95638888889,551.0,8654.0,0.262,6,5,1188.0,0.0,2.0,89.0,93.0,253.0,67,4,7,1200.0,1.566,1551.25,10,1470.0,360.0,Bd
NE0212,13.2380555556,2.27472222222,550.0,8657.0,0.2626,6,5,1370.0,0.0,3.0,89.0,92.0,239.0,67,1,7,1250.0,1.568,1551.25,10,1755.0,770.0,Bd
NE0213,13.87,1.59611111111,376.0,8742.0,0.1765,6,4,627.0,0.0,1.0,54.0,70.0,200.0,67,2,7,1230.0,1.566,1551.25,14,1424.0,392.0,Be
NE0214,13.8755555556,1.59916666667,375.0,8742.0,0.176,6,4,0.0,0.0,1.0,54.0,70.0,201.0,67,3,7,1230.0,1.566,1551.25,14,1460.0,459.0,Be
NE0215,13.1113888889,1.7375,547.0,8654.0,0.2599,6,5,1436.0,0.0,2.0,90.0,91.0,210.0,67,0,7,1280.0,1.566,1551.25,12,1891.0,532.0,Be
NE0216,13.7527777778,1.14166666667,433.0,8630.0,0.2047,6,4,590.0,0.0,2.0,65.0,77.0,247.0,67,2,7,1260.0,1.567,1551.25,14,1246.0,279.0,Be
NE0217,13.6380555556,1.84361111111,436.0,8742.0,0.2032,6,5,809.0,0.0,2.0,66.0,77.0,188.0,67,2,7,1200.0,1.562,1551.25,10,1395.0,450.0,Be
NE0218,13.6444444444,1.82777777778,435.0,8742.0,0.2029,6,5,761.0,0.0,2.0,66.0,77.0,191.0,67,2,7,1210.0,1.564,1551.25,7,1311.0,424.0,Be
NE0219,13.7741666667,1.54083333333,407.0,8742.0,0.1918,6,4,581.0,0.0,2.0,59.0,75.0,242.0,67,2,7,1210.0,1.569,1551.25,16,1099.0,205.0,Be
NE0220,13.865,1.59444444444,377.0,8742.0,0.1769,6,4,594.0,0.0,1.0,54.0,70.0,199.0,67,2,7,1230.0,1.566,1551.25,10,1275.0,420.0,Be
NE0221,13.0666666667,1.41666666667,562.0,8607.0,0.2685,6,5,1863.0,0.0,3.0,94.0,90.0,237.0,67,0,7,1300.0,1.566,1551.25,7,2148.0,925.0,Be
NE0222,13.6413888889,1.8375,435.0,8742.0,0.2032,6,5,926.0,0.0,2.0,66.0,77.0,192.0,67,3,7,1200.0,1.564,1551.25,14,1626.0,571.0,Be
NE0223,13.1,1.45,559.0,8607.0,0.2672,6,5,1290.0,0.0,3.0,94.0,89.0,267.0,67,2,7,1290.0,1.569,1551.25,14,1666.0,530.0,Be
NE0224,13.6469444444,1.82722222222,435.0,8742.0,0.2029,6,5,761.0,0.0,2.0,66.0,77.0,191.0,67,2,7,1210.0,1.564,1551.25,7,1311.0,424.0,Be
NE0225,13.6463888889,1.82972222222,435.0,8742.0,0.2029,6,5,761.0,0.0,2.0,66.0,77.0,191.0,67,2,7,1210.0,1.564,1551.25,7,1311.0,424.0,Be
NE0226,14.1830555556,1.48666666667,395.0,8675.0,0.186,6,4,622.0,0.0,2.0,55.0,75.0,203.0,67,1,7,1250.0,1.567,1551.25,14,1800.0,538.0,Be
NE0227,13.8755555556,1.59916666667,375.0,8742.0,0.176,6,4,0.0,0.0,1.0,54.0,70.0,201.0,67,3,7,1230.0,1.566,1551.25,14,1460.0,459.0,Be
NE0228,13.6169444444,1.87083333333,442.0,8742.0,0.2062,6,5,1183.0,0.0,2.0,67.0,79.0,188.0,67,2,7,1200.0,1.561,1551.25,12,2070.0,727.0,Bg
NE0229,13.62,1.86277777778,442.0,8742.0,0.2063,6,5,944.0,0.0,2.0,67.0,79.0,193.0,67,3,7,1200.0,1.562,1505.625,14,1737.0,598.0,Bg
NE0230,13.7425,1.72694444444,404.0,8742.0,0.1894,6,4,592.0,0.0,1.0,59.0,74.0,221.0,80,3,7,1220.0,1.566,1551.25,7,714.0,182.0,Bg
NE0231,13.3483333333,2.46944444444,496.0,8657.0,0.2376,6,5,941.0,0.0,1.0,81.0,83.0,256.0,80,2,7,1210.0,1.569,1551.25,7,1030.0,211.0,Bg
NE0232,14.1533333333,1.49111111111,390.0,8675.0,0.1837,6,4,1123.0,0.0,2.0,54.0,74.0,199.0,67,0,7,1240.0,1.567,1551.25,12,1877.0,681.0,Bg
NE0233,13.8136111111,1.66833333333,386.0,8742.0,0.1807,6,4,569.0,0.0,1.0,56.0,72.0,207.0,67,2,7,1220.0,1.567,1551.25,16,936.0,142.0,Bg
NE0234,13.3486111111,2.46944444444,496.0,8657.0,0.2376,6,5,941.0,0.0,1.0,81.0,83.0,256.0,80,2,7,1210.0,1.569,1551.25,7,1030.0,211.0,Bg
NE0235,13.3380555556,2.24277777778,529.0,8657.0,0.2503,6,5,838.0,0.0,2.0,85.0,89.0,179.0,67,3,7,1200.0,1.562,1551.25,10,968.0,303.0,Bg
NE0236,13.3363888889,2.24083333333,528.0,8657.0,0.2513,6,5,906.0,0.0,2.0,85.0,89.0,178.0,67,4,7,1190.0,1.563,1551.25,7,1203.0,337.0,Bg
NE0237,14.1863888889,1.47861111111,394.0,8675.0,0.1856,6,4,0.0,0.0,2.0,55.0,75.0,204.0,67,1,7,1240.0,1.567,1551.25,10,1508.0,337.0,Bg
NE0238,14.3363888889,1.97861111111,363.0,8649.0,0.1717,4,4,387.0,0.0,2.0,52.0,67.0,279.0,80,2,7,1170.0,1.569,1551.25,16,806.0,119.0,Bf
NE0239,13.2669444444,2.19611111111,547.0,8657.0,0.2612,6,5,956.0,0.0,2.0,88.0,92.0,259.0,80,1,7,1270.0,1.57,1551.25,14,1352.0,345.0,Bf
